7  1029 90.44
21:01:04.358 -> 811  -3066  1030 90.53
21:01:04.358 -> 811  -3066  1030 90.53
21:01:04.358 -> 811  -3066  1030 90.53
21:01:04.358 -> 811  -3066  1030 90.53
21:01:04.391 -> 811  -3066  1030 90.53
21:01:04.391 -> 811  -3066  1030 90.53
21:01:04.391 -> 811  -3066  1030 90.53
21:01:04.391 -> 811  -3066  1030 90.53
21:01:04.391 -> 811  -3066  1030 90.53
21:01:04.391 -> 811  -3066  1030 90.53
21:01:04.391 -> 811  -3066  1030 90.53
21:01:04.391 -> 811  -3066  1030 90.53
21:01:04.391 -> 811  -3066  1030 90.53
21:01:04.391 -> 811  -3066  1030 90.53
21:01:04.391 -> 811  -3066  1030 90.53
21:01:04.391 -> 811  -3066  1030 90.53
21:01:04.391 -> 811  -3066  1030 90.53
21:01:04.391 -> 812  -3065  1031 90.62
21:01:04.391 -> 812  -3065  1031 90.62
21:01:04.391 -> 812  -3065  1031 90.62
21:01:04.425 -> 812  -3065  1031 90.62
21:01:04.425 -> 812  -3065  1031 90.62
21:01:04.425 -> 812  -3065  1031 90.62
21:01:04.425 -> 812  -3065  1031 90.62
21:01:04.425 -> 812  -3065  1031 90.62
21:01:04.425 -> 812  -3065  1031 90.62
21:01:04.425 -> 812  -3065  1031 90.62
21:01:04.425 -> 812  -3065  1031 90.62
21:01:04.425 -> 812  -3065  1031 90.62
21:01:04.425 -> 812  -3065  1031 90.62
21:01:04.425 -> 812  -3065  1031 90.62
21:01:04.425 -> 812  -3065  1031 90.62
21:01:04.425 -> 812  -3065  1031 90.62
21:01:04.425 -> 812  -3065  1031 90.62
21:01:04.425 -> 812  -3065  1031 90.62
21:01:04.425 -> 813  -3064  1032 90.70
21:01:04.460 -> 813  -3064  1032 90.70
21:01:04.460 -> 813  -3064  1032 90.70
21:01:04.460 -> 813  -3064  1032 90.70
21:01:04.460 -> 813  -3064  1032 90.70
21:01:04.460 -> 813  -3064  1032 90.70
21:01:04.460 -> 813  -3064  1032 90.70
21:01:04.460 -> 813  -3064  1032 90.70
21:01:04.460 -> 813  -3064  1032 90.70
21:01:04.460 -> 813  -3064  1032 90.70
21:01:04.460 -> 812  -3065  1031 90.62
21:01:04.460 -> 812  -3065  1031 90.62
21:01:04.460 -> 812  -3065  1031 90.62
21:01:04.460 -> 812  -3065  1031 90.62
21:01:04.460 -> 812  -3065  1031 90.62
21:01:04.460 -> 812  -3065  1031 90.62
21:01:04.460 -> 812  -3065  1031 90.62
21:01:04.460 -> 812  -3065  1031 90.62
21:01:04.460 -> 812  -3065  1031 90.62
21:01:04.493 -> 812  -3065  1031 90.62
21:01:04.493 -> 811  -3066  1030 90.53
21:01:04.493 -> 811  -3066  1030 90.53
21:01:04.493 -> 811  -3066  1030 90.53
21:01:04.493 -> 811  -3066  1030 90.53
21:01:04.493 -> 811  -3066  1030 90.53
21:01:04.493 -> 810  -3067  1029 90.44
21:01:04.493 -> 810  -3067  1029 90.44
21:01:04.493 -> 810  -3067  1029 90.44
21:01:04.493 -> 810  -3067  1029 90.44
21:01:04.493 -> 810  -3067  1029 90.44
21:01:04.493 -> 809  -3068  1028 90.35
21:01:04.493 -> 809  -3068  1028 90.35
21:01:04.493 -> 809  -3068  1028 90.35
21:01:04.493 -> 809  -3068  1028 90.35
21:01:04.493 -> 809  -3068  1028 90.35
21:01:04.528 -> 809  -3068  1028 90.35
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.528 -> 808  -3069  1027 90.26
